hex,count_good_aircraft,count_bad_aircraft
84b24d1ffffffff,19,0
84b24d7ffffffff,3,0
84660e5ffffffff,28,0
84660e1ffffffff,29,0
84660e3ffffffff,19,28
846608dffffffff,0,4
8466a59ffffffff,29,1
8466a5dffffffff,58,0
84678b7ffffffff,38,4
8466a53ffffffff,18,9
8466a5bffffffff,6,18
8466ad5ffffffff,1,0
8466ac3ffffffff,30,3
8466acbffffffff,3,0
8466ac1ffffffff,39,4
8466acdffffffff,28,0
8466a43ffffffff,50,0
8466a47ffffffff,16,5
8466a45ffffffff,23,0
84661b9ffffffff,33,2
8466187ffffffff,42,0
8466185ffffffff,30,0
84661a9ffffffff,14,0
848e70bffffffff,1,6
848e757ffffffff,1,14
848e71dffffffff,31,8
84678bdffffffff,29,4
84678abffffffff,29,0
8467885ffffffff,22,0
846612dffffffff,11,13
8466125ffffffff,9,0
84b9b01ffffffff,0,18
84b9b0dffffffff,0,17
84b9b09ffffffff,24,7
84b9b47ffffffff,34,0
84b9b41ffffffff,37,0
84b9b49ffffffff,9,0
84121edffffffff,2,0
8412133ffffffff,31,0
841213bffffffff,10,0
8412131ffffffff,60,15
841213dffffffff,42,24
8412123ffffffff,0,36
8441187ffffffff,0,11
84411abffffffff,0,28
84411a3ffffffff,114,17
84411a7ffffffff,26,0
843ca31ffffffff,0,25
843ca3bffffffff,4,2
843ca33ffffffff,4,0
8428737ffffffff,3,12
8428735ffffffff,40,0
8428723ffffffff,15,0
8428727ffffffff,25,0
8428725ffffffff,18,0
8427197ffffffff,58,0
842626dffffffff,94,24
8441a33ffffffff,52,0
8441a37ffffffff,0,18
844184bffffffff,5,0
844184dffffffff,8,6
84309a9ffffffff,0,3
844194bffffffff,22,0
8441b35ffffffff,0,15
8441b27ffffffff,39,0
8441949ffffffff,14,0
841289dffffffff,0,31
84128d7ffffffff,38,17
84128d1ffffffff,35,0
842ad03ffffffff,25,1
842ad0bffffffff,28,3
844119bffffffff,30,0
8441199ffffffff,36,2
84411d7ffffffff,40,0
84309b3ffffffff,0,6
8448d6dffffffff,19,0
84488b3ffffffff,103,5
8442cc9ffffffff,25,12
8442ccbffffffff,70,7
8442cddffffffff,64,0
8442cd1ffffffff,34,0
8442cd7ffffffff,3,0
8441185ffffffff,0,3
8441a57ffffffff,34,0
8441a55ffffffff,23,3
8441a09ffffffff,7,0
8431ae3ffffffff,39,10
8431ae1ffffffff,31,0
8431ae9ffffffff,14,4
844ba57ffffffff,87,8
8441111ffffffff,60,4
8441113ffffffff,49,0
84411cdffffffff,21,23
8440349ffffffff,53,12
84411d9ffffffff,55,0
84411ddffffffff,67,9
84411cbffffffff,37,0
8441ae9ffffffff,12,30
8441aedffffffff,7,23
848d8cbffffffff,106,15
84bec21ffffffff,38,17
84bec29ffffffff,61,3
8441b57ffffffff,23,0
8441b53ffffffff,52,7
8441b19ffffffff,4,0
8441a25ffffffff,0,12
8441103ffffffff,0,11
844111dffffffff,0,18
844111bffffffff,1,0
84411a1ffffffff,41,0
84411b5ffffffff,0,25
8441005ffffffff,35,0
8441029ffffffff,39,0
844102dffffffff,33,12
8441a5bffffffff,23,0
8441129ffffffff,16,23
8441105ffffffff,0,4
8426cbdffffffff,90,101
842759bffffffff,140,66
8427593ffffffff,150,78
84446d5ffffffff,227,9
84446cbffffffff,119,60
842c0e3ffffffff,3,21
842c121ffffffff,0,43
842c127ffffffff,24,15
842c519ffffffff,0,12
84382bdffffffff,18,0
84382a3ffffffff,19,2
84382a7ffffffff,24,0
84380cdffffffff,15,0
842ab25ffffffff,11,14
8426565ffffffff,18,0
8426561ffffffff,26,18
8428323ffffffff,0,4
84075abffffffff,28,2
84075a3ffffffff,44,0
8406749ffffffff,9,37
8406741ffffffff,0,1
8429a4dffffffff,354,20
84be5d3ffffffff,61,13
84be5dbffffffff,12,0
8441b21ffffffff,0,15
844b361ffffffff,22,1
8441909ffffffff,21,0
844190bffffffff,26,0
8441957ffffffff,13,0
848000dffffffff,26,0
8480005ffffffff,40,0
848002bffffffff,35,3
8480021ffffffff,4,0
8480023ffffffff,13,0
8420195ffffffff,0,32
8420e69ffffffff,68,3
8420e6bffffffff,51,0
842c51bffffffff,0,12
842ce19ffffffff,5,2
842ce53ffffffff,43,1
842c085ffffffff,57,0
842c0abffffffff,33,0
842c0bdffffffff,2,0
842c087ffffffff,22,14
841fb09ffffffff,1,7
841fb43ffffffff,3,6
841fb55ffffffff,13,27
844cd3bffffffff,20,0
844cd31ffffffff,20,0
844cd33ffffffff,1,0
844cd37ffffffff,21,12
84672ddffffffff,0,32
84672d5ffffffff,0,15
842a345ffffffff,107,23
8428987ffffffff,20,9
84289bdffffffff,0,12
842a069ffffffff,33,0
842a313ffffffff,48,24
842db43ffffffff,18,0
842db47ffffffff,51,0
842db59ffffffff,0,12
843f493ffffffff,37,24
84bf4cbffffffff,113,8
8446483ffffffff,72,59
8446495ffffffff,30,0
8446497ffffffff,52,60
8446493ffffffff,27,64
8429b29ffffffff,271,51
8444f6dffffffff,323,80
8444f69ffffffff,32,0
8444f47ffffffff,7,0
8444f43ffffffff,175,60
843e68bffffffff,41,29
843e6d7ffffffff,50,7
843e699ffffffff,79,4
842d96dffffffff,85,48
842d965ffffffff,0,30
8442ce1ffffffff,14,0
8442ce9ffffffff,9,0
8442cedffffffff,15,0
8442c17ffffffff,32,0
8442c15ffffffff,35,6
8442c03ffffffff,39,4
8464a41ffffffff,18,0
8464a49ffffffff,68,13
8442a19ffffffff,35,9
8442a57ffffffff,13,13
8442a51ffffffff,33,0
8442a5dffffffff,4,0
842c991ffffffff,23,1
842c999ffffffff,11,0
842c8a5ffffffff,14,0
842c8adffffffff,11,0
84536ebffffffff,9,53
84536e9ffffffff,38,42
84536edffffffff,73,4
845363bffffffff,31,3
8453639ffffffff,16,1
8443307ffffffff,32,47
8443301ffffffff,34,37
844330bffffffff,48,50
8443355ffffffff,54,28
845362bffffffff,3,10
8453629ffffffff,30,2
845362dffffffff,18,3
845375bffffffff,35,0
8453759ffffffff,20,0
843e68dffffffff,46,0
843e681ffffffff,24,19
843e689ffffffff,0,2
842c567ffffffff,31,0
842ce51ffffffff,33,9
842c357ffffffff,0,4
843e6a5ffffffff,10,16
843e6adffffffff,28,0
843e45bffffffff,39,0
843e459ffffffff,13,0
842e611ffffffff,0,61
844a34dffffffff,3,9
844a349ffffffff,11,15
844a34bffffffff,13,17
844b1b7ffffffff,28,4
844b0e5ffffffff,19,11
844b0e1ffffffff,58,10
844b0ebffffffff,4,27
844b1c3ffffffff,23,4
844b1ddffffffff,34,0
844ba19ffffffff,35,0
844b125ffffffff,63,0
844b127ffffffff,0,18
841f9a5ffffffff,13,0
841f9adffffffff,29,0
84396dbffffffff,34,2
841f9e5ffffffff,43,0
843e6e1ffffffff,10,2
843e6ebffffffff,27,10
84c2c05ffffffff,20,4
84c2c0dffffffff,32,0
84c2c47ffffffff,27,0
84c2c43ffffffff,22,0
84c2c4bffffffff,16,0
84b91adffffffff,0,49
84b9adbffffffff,19,37
84b91e5ffffffff,0,10
8430d9bffffffff,40,17
842f593ffffffff,49,7
842e669ffffffff,45,0
842e66dffffffff,20,0
842e717ffffffff,0,7
842e715ffffffff,0,22
842e739ffffffff,0,12
842e707ffffffff,0,15
842e72bffffffff,0,27
8443351ffffffff,24,5
84536c5ffffffff,6,7
84536c7ffffffff,6,28
8453689ffffffff,24,26
84536d5ffffffff,7,4
842d351ffffffff,34,10
842d357ffffffff,44,66
84414d5ffffffff,26,12
84414d1ffffffff,5,0
84410e3ffffffff,30,0
844108dffffffff,17,17
8441081ffffffff,19,0
8469965ffffffff,13,1
848c9a1ffffffff,32,6
848c9a9ffffffff,34,3
8429a41ffffffff,430,49
8448597ffffffff,116,5
8448dddffffffff,29,0
8448dd9ffffffff,92,0
8412f6dffffffff,24,7
84be493ffffffff,0,34
841e517ffffffff,10,0
841e513ffffffff,14,33
841eecbffffffff,23,0
841eeddffffffff,32,0
841eed5ffffffff,62,1
841eed7ffffffff,96,0
841ee9dffffffff,30,4
841e561ffffffff,0,25
841e56dffffffff,11,28
841e0bbffffffff,30,0
8409ac5ffffffff,22,0
