hex,count_good_aircraft,count_bad_aircraft
842aad5ffffffff,64,0
842aac3ffffffff,286,0
842aacbffffffff,1033,0
8426d0bffffffff,108,0
842b891ffffffff,340,0
842a325ffffffff,140,0
8448a1dffffffff,18,0
8448a11ffffffff,17,0
8448a15ffffffff,35,0
8448a17ffffffff,3,0
8448a3bffffffff,14,0
8444db7ffffffff,225,0
8444db1ffffffff,209,0
8444d83ffffffff,146,0
8429a61ffffffff,199,0
8429a65ffffffff,196,0
8429b59ffffffff,182,0
8429b5dffffffff,196,0
8444d57ffffffff,101,0
8444c29ffffffff,418,0
8444c63ffffffff,90,7
844c915ffffffff,8,0
844c917ffffffff,22,0
844c913ffffffff,34,0
844c9cdffffffff,27,0
8427591ffffffff,490,107
8427597ffffffff,688,191
8427641ffffffff,0,1
8427647ffffffff,18,0
8427605ffffffff,12,0
842986bffffffff,843,48
8429869ffffffff,894,0
8429b17ffffffff,137,0
8426d5dffffffff,51,0
8426333ffffffff,26,0
842633bffffffff,46,0
842606dffffffff,34,0
8426069ffffffff,46,0
8426045ffffffff,71,0
842aac1ffffffff,312,0
8426091ffffffff,74,0
84260b1ffffffff,347,1
8444c87ffffffff,272,0
8444cbdffffffff,80,0
8444cabffffffff,328,41
8444ca3ffffffff,361,59
8444ca1ffffffff,221,0
8444ca7ffffffff,249,0
8444ca5ffffffff,249,0
8444a81ffffffff,711,0
8444a83ffffffff,887,0
8444a95ffffffff,1015,115
8444a97ffffffff,1508,46
8444f23ffffffff,63,0
8444f2bffffffff,70,0
8444f21ffffffff,107,0
8444f29ffffffff,161,0
8444f67ffffffff,47,0
8444d81ffffffff,199,0
8444d8dffffffff,142,0
8444de3ffffffff,140,0
842b8bdffffffff,221,0
842b8a7ffffffff,146,0
8426f67ffffffff,144,0
8426f61ffffffff,92,0
8426f6bffffffff,153,0
8426f47ffffffff,184,0
842b22bffffffff,18,0
842b207ffffffff,28,0
842b201ffffffff,31,0
842b20bffffffff,50,0
842b209ffffffff,1,0
842b255ffffffff,41,0
8427595ffffffff,181,12
842a811ffffffff,259,0
842a815ffffffff,161,0
842a83bffffffff,132,0
842a831ffffffff,221,0
842a837ffffffff,119,0
8426c87ffffffff,1774,47
845d303ffffffff,45,0
845d31dffffffff,77,0
845d319ffffffff,97,0
845d353ffffffff,25,0
845d225ffffffff,33,0
845d22dffffffff,44,0
8426293ffffffff,196,10
8426769ffffffff,152,0
8426297ffffffff,98,0
842676dffffffff,42,0
84262bbffffffff,85,0
84262b3ffffffff,59,0
8426cabffffffff,781,192
8426665ffffffff,398,0
842666dffffffff,604,15
8426661ffffffff,1131,171
8426669ffffffff,703,85
8426645ffffffff,920,12
